Date,Price,Open,High,Low,Vol,Change %
2022-01-25,2.6691,2.65,2.6707,2.6154,49.39K,1.59%
2022-01-24,2.6274,2.6872,2.7152,2.609,44.02K,-2.37%
2022-01-21,2.6912,2.6426,2.6927,2.6031,42.07K,0.73%
2022-01-20,2.6718,2.67,2.6935,2.6352,46.03K,-0.76%
2022-01-19,2.6923,2.7101,2.7271,2.665,52.91K,0.68%
2022-01-18,2.674,2.6345,2.7153,2.6345,100.51K,0.33%
2022-01-17,2.6652,2.6491,2.6755,2.635,,0.60%
2022-01-16,2.6494,2.6471,2.654,2.6471,,0.57%
2022-01-14,2.6343,2.6016,2.6459,2.599,82.31K,0.99%
2022-01-13,2.6085,2.5988,2.6203,2.5753,87.77K,0.55%
2022-01-12,2.5942,2.5638,2.6133,2.5602,92.82K,1.19%
2022-01-11,2.5636,2.4916,2.5718,2.4866,81.48K,3.06%
2022-01-10,2.4876,2.4917,2.5245,2.4753,85.67K,0.23%
2022-01-07,2.4818,2.479,2.5001,2.4656,61.13K,0.17%
2022-01-06,2.4777,2.4282,2.4989,2.414,68.96K,1.29%
2022-01-05,2.4461,2.4114,2.4624,2.399,62.35K,1.52%
2022-01-04,2.4095,2.3607,2.4159,2.3522,63.99K,2.21%
2022-01-03,2.3574,2.3283,2.3722,2.3134,51.35K,1.17%
2021-12-31,2.3301,2.37,2.3773,2.3248,2.17K,-2.75%
2021-12-30,2.3959,2.3766,2.4049,2.3647,11.54K,0.76%
2021-12-29,2.3778,2.3742,2.4054,2.3516,16.25K,0.27%
2021-12-28,2.3714,2.361,2.3978,2.3483,21.10K,0.76%
2021-12-27,2.3535,2.32,2.375,2.2954,14.90K,0.95%
2021-12-23,2.3314,2.318,2.337,2.2887,26.41K,1.02%
2021-12-22,2.3078,2.2595,2.3142,2.2464,31.79K,2.21%
2021-12-21,2.2578,2.1924,2.2653,2.17,29.28K,3.90%
2021-12-20,2.173,2.2168,2.2168,2.1085,47.74K,-2.11%
2021-12-17,2.2199,2.2574,2.263,2.1967,44.05K,-2.05%
2021-12-16,2.2663,2.2345,2.2773,2.2246,46.59K,2.07%
2021-12-15,2.2204,2.2112,2.2395,2.1873,51.50K,0.09%
2021-12-14,2.2184,2.2345,2.2562,2.1859,47.59K,-0.64%
2021-12-13,2.2328,2.2595,2.2839,2.2307,49.46K,-0.83%
2021-12-10,2.2516,2.2409,2.2729,2.2318,42.64K,0.06%
2021-12-09,2.2503,2.2641,2.2844,2.232,56.59K,-0.49%
2021-12-08,2.2613,2.2299,2.2725,2.2127,51.90K,1.65%
2021-12-07,2.2246,2.181,2.2378,2.1747,57.59K,2.46%
2021-12-06,2.1712,2.116,2.188,2.106,46.74K,3.47%
2021-12-03,2.0984,2.1109,2.162,2.0801,58.59K,-0.24%
2021-12-02,2.1034,2.0725,2.1334,2.0069,74.28K,1.27%
